zip,borough,complaints_2020,complaints_2021,complaints_2022,pop_2020,pop_2021,pop_2022,med_inc_2020,med_inc_2021,med_inc_2022,complaints_norm_2020,complaints_norm_2021,complaints_norm_2022,pct_below_poverty_2020,pct_below_poverty_2021,pct_below_poverty_2022
10029,MANHATTAN,1655,1640,2377,74617,77661,77661,33801,33901,33901,2217.993219,2111.742058,3060.738337,32.29156741,33.05777616,33.05777616
10030,MANHATTAN,1308,1597,2503,30996,31611,31611,45555,42834,42834,4219.899342,5052.038847,7918.129765,24.53772334,27.465487,27.465487
10031,MANHATTAN,2918,3767,5144,60280,61801,61801,55721,57180,57180,4840.743198,6095.370625,8323.489911,22.94287152,23.5551623,23.5551623
10032,MANHATTAN,3004,3675,5318,59527,60529,60529,53690,55059,55059,5046.44951,6071.469874,8785.871235,20.72063812,20.27870122,20.27870122
10033,MANHATTAN,3476,3395,4286,58648,60739,60739,66902,71630,71630,5926.885827,5589.489455,7056.421739,16.25780893,16.15618308,16.15618308
10034,MANHATTAN,2897,3171,3655,41933,43365,43365,63556,63851,63851,6908.639973,7312.348668,8428.456128,17.3449981,17.4586056,17.4586056
10035,MANHATTAN,1128,1122,1704,36999,37042,37042,28408,32555,32555,3048.731047,3028.994115,4600.183575,36.5807327,35.67247387,35.67247387
10036,MANHATTAN,398,569,926,28231,30437,30437,97720,98177,98177,1409.79774,1869.435227,3042.349772,14.04484716,12.82395957,12.82395957
10037,MANHATTAN,690,950,1361,19177,19374,19374,50686,48782,48782,3598.060176,4903.478889,7024.878703,22.15984485,24.19875025,24.19875025
10038,MANHATTAN,80,137,233,24205,23356,23356,95640,99924,99924,330.5102252,586.5730433,997.6023292,20.08333333,19.12521441,19.12521441
10039,MANHATTAN,1206,1433,2025,27090,27234,27234,41363,50164,50164,4451.827243,5261.805097,7435.558493,24.26457789,21.44588745,21.44588745
10040,MANHATTAN,2230,2563,3305,45197,45771,45771,53199,54700,54700,4933.955794,5599.615477,7220.729283,21.72670807,19.93091746,19.93091746
10044,MANHATTAN,26,32,49,12770,12155,12155,112658,115294,115294,203.6021926,263.2661456,403.1262855,7.489597781,6.064306064,6.064306064
10065,MANHATTAN,327,366,474,32270,31270,31270,115519,152335,152335,1013.32507,1170.450911,1515.829869,6.047873695,6.448609732,6.448609732
10069,MANHATTAN,3,5,24,6504,5774,5774,130556,183178,183178,46.12546125,86.5950814,415.6563907,18.02962009,16.86156167,16.86156167
10075,MANHATTAN,206,265,362,26121,23391,23391,102941,131372,131372,788.6374947,1132.914369,1547.603779,8.472049689,12.82407786,12.82407786
10128,MANHATTAN,310,607,786,57993,58147,58147,117926,127919,127919,534.5472729,1043.905962,1351.746436,7.879318473,9.008210964,9.008210964
10162,MANHATTAN,1,0,0,1240,2268,2268,96555,99300,99300,80.64516129,0,0,0,0,0
10280,MANHATTAN,4,14,3,9372,8582,8582,170385,178148,178148,42.68032437,163.132137,34.95688651,4.973474801,2.875475285,2.875475285
10282,MANHATTAN,1,7,20,6086,6419,6419,250001,250001,250001,16.43115347,109.0512541,311.5750117,3.521408563,2.208446339,2.208446339
10301,STATEN ISLAND,463,632,848,38001,38736,38736,70065,78053,78053,1218.38899,1631.557208,2189.178026,17.40633209,14.44646352,14.44646352
10302,STATEN ISLAND,70,183,200,17942,18144,18144,72394,73927,73927,390.1460261,1008.597884,1102.292769,15.73052491,19.11738431,19.11738431
10303,STATEN ISLAND,165,242,227,27164,27469,27469,70315,69879,69879,607.4215874,880.9931195,826.386108,19.61130742,19.36330035,19.36330035
10304,STATEN ISLAND,379,442,628,42133,43849,43849,64394,64539,64539,899.532433,1008.004744,1432.187735,19.46677385,19.57783641,19.57783641
10305,STATEN ISLAND,105,190,257,42968,44531,44531,77136,76833,76833,244.3679017,426.669062,577.126047,10.53384485,9.606111842,9.606111842
10306,STATEN ISLAND,116,222,337,54318,55805,55805,83309,88687,88687,213.5572002,397.813816,603.8885405,10.43442956,8.733602422,8.733602422
10307,STATEN ISLAND,15,8,33,15053,14828,14828,108808,117469,117469,99.64791072,53.95198274,222.5519288,5.623520126,6.179556937,6.179556937
10308,STATEN ISLAND,14,12,36,28901,30353,30353,110478,116082,116082,48.44123041,39.5348071,118.6044213,4.616886286,7.055682685,7.055682685
10309,STATEN ISLAND,23,23,63,33896,35832,35832,102730,107500,107500,67.85461411,64.18843492,175.8204956,10.38297872,11.30922899,11.30922899
10310,STATEN ISLAND,98,151,155,24168,25976,25976,86895,96161,96161,405.4948692,581.3058208,596.7046504,14.76146578,13.42888644,13.42888644
10312,STATEN ISLAND,42,52,69,61114,63935,63935,96785,100875,100875,68.72402396,81.33260343,107.9221084,7.362486379,6.605859591,6.605859591
10314,STATEN ISLAND,163,121,197,89938,93736,93736,90306,94578,94578,181.2359626,129.0859435,210.1647179,9.600484648,9.004754258,9.004754258
10451,BRONX,2124,2908,3834,49423,50118,50118,32598,33945,33945,4297.594238,5802.306557,7649.946127,33.75846557,33.64001175,33.64001175
10452,BRONX,4424,5526,8794,74379,79838,79838,31351,33877,33877,5947.915406,6921.51607,11014.80498,37.36397957,35.88761632,35.88761632
10453,BRONX,4187,4522,5924,78858,80393,80393,31778,34860,34860,5309.543737,5624.867837,7368.800766,36.38553337,34.21619294,34.21619294
10454,BRONX,875,1160,1775,37807,38908,38908,23337,21846,21846,2314.386225,2981.392002,4562.043796,45.93678627,45.9218739,45.9218739
10455,BRONX,1818,1910,2421,40300,42781,42781,29439,30741,30741,4511.166253,4464.59877,5659.054253,36.05153109,35.34103235,35.34103235
10456,BRONX,3404,3763,5204,90479,90314,90314,31645,31166,31166,3762.198963,4166.574396,5762.11883,37.42885306,38.78239485,38.78239485
10457,BRONX,6797,7784,8986,74679,79443,79443,32378,38066,38066,9101.621607,9798.220107,11311.25461,35.84021699,33.50985126,33.50985126
10458,BRONX,4701,5865,8505,85893,86757,86757,37886,38768,38768,5473.08861,6760.26142,9803.243542,32.73297335,31.17909935,31.17909935
10459,BRONX,1900,2428,3831,48391,51303,51303,31896,36631,36631,3926.349941,4732.666706,7467.399567,32.90538164,29.34739013,29.34739013
10460,BRONX,2585,3140,4142,57514,59979,59979,28831,31504,31504,4494.557847,5235.165641,6905.750346,37.2303582,36.18249534,36.18249534
10461,BRONX,1280,1291,2204,51081,52756,52756,60802,61087,61087,2505.824083,2447.11502,4177.723861,14.93567618,16.17585412,16.17585412
10462,BRONX,4453,5670,7668,75441,78470,78470,57266,59032,59032,5902.625893,7225.691347,9771.887345,17.10085918,17.58871427,17.58871427
10463,BRONX,2462,3046,4259,70236,73256,73256,60397,63048,63048,3505.324905,4158.021186,5813.858251,16.43947101,17.07890467,17.07890467
10464,BRONX,47,41,41,4322,4417,4417,101935,118972,118972,1087.459509,928.2318316,928.2318316,6.189967983,6.384065373,6.384065373
10465,BRONX,215,469,414,45066,46205,46205,74889,80245,80245,477.0780633,1015.041662,896.0069257,16.62945044,16.64918882,16.64918882
10466,BRONX,1960,2119,2761,74519,75767,75767,58405,62918,62918,2630.201694,2796.732087,3644.066678,20.8524931,19.38114656,19.38114656
10467,BRONX,5006,5468,7653,100867,102209,102209,40639,42639,42639,4962.971041,5349.822423,7487.598939,25.3334394,25.81532417,25.81532417
10468,BRONX,4723,5606,7663,78778,82480,82480,37777,40138,40138,5995.328645,6796.799224,9290.737148,30.38228629,30.36157582,30.36157582
10469,BRONX,1094,1335,2383,72550,75290,75290,67190,70415,70415,1507.925569,1773.143844,3165.094966,15.92239797,17.19181868,17.19181868
10470,BRONX,522,979,1035,15500,16446,16446,64643,70107,70107,3367.741935,5952.815274,6293.323605,11.05643045,10.66749844,10.66749844
10471,BRONX,307,263,519,22577,23387,23387,93657,96368,96368,1359.790938,1124.556377,2219.181597,8.354372275,7.310038824,7.310038824
10472,BRONX,2279,2759,3898,67989,66720,66720,36038,36730,36730,3352.012826,4135.191847,5842.326139,31.74024571,32.1128177,32.1128177
10473,BRONX,1411,1341,1681,59627,60296,60296,47856,48212,48212,2366.377648,2224.028128,2787.912963,24.18869644,24.19729899,24.19729899
10474,BRONX,494,524,758,11579,11312,11312,28419,33157,33157,4266.344244,4632.248939,6700.848656,42.01369082,39.35324747,39.35324747
10475,BRONX,77,140,161,43791,44509,44509,53819,56327,56327,175.8352173,314.5431261,361.724595,11.66032274,11.82287188,11.82287188
11001,QUEENS,1,5,10,26883,26818,26818,101634,132344,132344,3.719822936,18.6441942,37.2883884,3.423794801,3.49907919,3.49907919
11004,QUEENS,12,24,10,15297,16426,16426,97845,100174,100174,78.44675427,146.1098259,60.87909412,8.423460899,7.468879668,7.468879668
11040,QUEENS,1,5,1,40782,42634,42634,101434,140368,140368,2.452062184,11.72772904,2.345545809,4.121425294,4.242922238,4.242922238
11101,QUEENS,323,332,540,32537,33789,33789,89525,98920,98920,992.7159849,982.5682915,1598.153245,16.26647047,13.32783557,13.32783557
11102,QUEENS,407,639,804,28359,27876,27876,81462,95478,95478,1435.170493,2292.294447,2884.201464,13.63425926,13.20016307,13.20016307
11103,QUEENS,481,506,819,35419,35912,35912,81677,82597,82597,1358.028177,1408.999777,2280.574738,9.868378812,10.16435707,10.16435707
11104,QUEENS,584,797,1356,25037,27575,27575,75772,81142,81142,2332.547829,2890.299184,4917.497733,9.20131194,9.238031018,9.238031018
11105,QUEENS,355,652,742,37452,38311,38311,86516,93200,93200,947.879953,1701.861084,1936.780559,9.074243813,9.034653465,9.034653465
11106,QUEENS,613,731,1821,37094,40472,40472,71865,71972,71972,1652.558365,1806.186993,4499.406997,12.77172312,11.35253772,11.35253772
11109,QUEENS,0,3,6,6127,6712,6712,169425,160898,160898,0,44.69606675,89.39213349,1.188332733,1.383081377,1.383081377
11201,BROOKLYN,298,291,538,64798,68777,68777,139697,148282,148282,459.8907374,423.1065618,782.2382483,10.59052696,10.39763222,10.39763222
11203,BROOKLYN,2020,2216,2916,77589,79499,79499,57707,61414,61414,2603.461831,2787.456446,3667.970666,14.80392492,15.00586166,15.00586166
11204,BROOKLYN,735,1230,1143,75840,82140,82140,54984,58850,58850,969.1455696,1497.443389,1391.526662,18.81802721,18.40361804,18.40361804
11205,BROOKLYN,395,478,563,47866,50681,50681,62952,68607,68607,825.220407,943.1542393,1110.869951,23.99427856,22.12572374,22.12572374
11206,BROOKLYN,722,1093,1804,87599,90903,90903,43065,49013,49013,824.210322,1202.380559,1984.532964,31.10292483,31.39557205,31.39557205
11207,BROOKLYN,1561,1982,2698,90867,97690,97690,42276,45616,45616,1717.895386,2028.866824,2761.797523,29.05615995,28.07683257,28.07683257
11208,BROOKLYN,1381,1773,2625,102626,107724,107724,45946,49679,49679,1345.662892,1645.872786,2436.78289,25.26478119,23.73699741,23.73699741
11209,BROOKLYN,2368,2560,2712,68368,72938,72938,79524,84145,84145,3463.608706,3509.830267,3718.226439,11.24854382,11.27363184,11.27363184
11210,BROOKLYN,1272,1842,2082,62423,65854,65854,70776,77378,77378,2037.710459,2797.096608,3161.539162,11.48231202,10.97605893,10.97605893
11211,BROOKLYN,843,979,1154,104561,65925,65925,90871,89091,89091,806.2279435,1485.020857,1750.474024,17.58653634,17.41047466,17.41047466
11212,BROOKLYN,2166,2379,3125,74037,78296,78296,29385,30733,30733,2925.564245,3038.469398,3991.263922,35.35424744,35.25352915,35.25352915
11213,BROOKLYN,2290,3370,4083,67382,69392,69392,48318,48896,48896,3398.533733,4856.467604,5883.963569,21.70830648,21.8139321,21.8139321
11214,BROOKLYN,1540,1425,2176,90372,95361,95361,57639,58487,58487,1704.067632,1494.321578,2281.855266,17.4385976,18.19901627,18.19901627
11215,BROOKLYN,525,770,1007,69995,73419,73419,144330,156930,156930,750.0535753,1048.77484,1371.579564,6.756286132,5.429494812,5.429494812
11216,BROOKLYN,1534,1903,2314,59567,62210,62210,77343,84661,84661,2575.251398,3058.993731,3719.659219,15.2652206,14.32620853,14.32620853
11217,BROOKLYN,304,470,477,42461,42107,42107,122598,133269,133269,715.9511081,1116.203957,1132.828271,13.19589843,12.7797474,12.7797474
11218,BROOKLYN,1270,1708,2155,73280,76370,76370,78249,81857,81857,1733.078603,2236.480293,2821.78866,14.21943773,11.95868401,11.95868401
11219,BROOKLYN,685,666,1051,87812,93119,93119,41907,44450,44450,780.0756161,715.2138661,1128.663323,30.26266181,29.84166667,29.84166667
11220,BROOKLYN,1436,2079,2162,90657,93584,93584,55119,57046,57046,1583.992411,2221.533595,2310.22397,23.42274408,22.21413759,22.21413759
11221,BROOKLYN,1542,1881,2487,85582,89728,89728,65548,66923,66923,1801.780748,2096.335592,2771.710057,21.5411135,21.18696641,21.18696641
11222,BROOKLYN,371,488,902,36710,39669,39669,96435,110385,110385,1010.623808,1230.179737,2273.815826,10.69617078,9.755312299,9.755312299
11223,BROOKLYN,703,938,1150,80500,83565,83565,56908,57281,57281,873.2919255,1122.479507,1376.174236,20.56371576,20.90307088,20.90307088
11224,BROOKLYN,270,415,475,45587,48110,48110,35776,37241,37241,592.2741132,862.6065267,987.3207233,31.18513906,32.1209283,32.1209283
11225,BROOKLYN,3403,3766,4963,56072,59465,59465,65200,68542,68542,6068.982736,6333.137139,8346.085933,13.73619556,14.94575155,14.94575155
11226,BROOKLYN,5480,7193,8280,96332,99776,99776,60896,66173,66173,5688.660051,7209.148493,8298.588839,15.28959795,14.77860375,14.77860375
11228,BROOKLYN,177,237,314,43878,45267,45267,76278,77189,77189,403.3912211,523.5602094,693.6620496,11.26478382,10.77817242,10.77817242
11229,BROOKLYN,820,994,1496,81909,85538,85538,66332,69076,69076,1001.110989,1162.05663,1748.9303,16.00373002,16.58563287,16.58563287
11230,BROOKLYN,1805,2288,2870,87188,91789,91789,57770,61017,61017,2070.239024,2492.673414,3126.736319,20.63095924,20.32522892,20.32522892
11231,BROOKLYN,490,364,492,37796,40311,40311,108525,121638,121638,1296.433485,902.9793357,1220.510531,17.06886775,17.21830565,17.21830565
11232,BROOKLYN,550,549,558,26501,28501,28501,74072,77031,77031,2075.393381,1926.248202,1957.826041,15.30886303,14.41294667,14.41294667
11233,BROOKLYN,1923,1956,2337,79796,85633,85633,48278,52380,52380,2409.895233,2284.166151,2729.088085,25.6797963,24.67726382,24.67726382
11234,BROOKLYN,440,577,686,90372,94254,94254,84116,86185,86185,486.8764662,612.1756106,727.8205699,8.601483228,8.975340787,8.975340787
11235,BROOKLYN,1294,1532,1695,76921,84859,84859,56308,58669,58669,1682.245421,1805.347694,1997.431033,19.53403915,19.27575478,19.27575478
11236,BROOKLYN,713,774,1630,98821,102238,102238,74015,73562,73562,721.5065624,757.0570629,1594.319138,12.66682345,13.13448767,13.13448767
11237,BROOKLYN,866,1180,1318,46772,50590,50590,57375,65908,65908,1851.535106,2332.476774,2605.257956,22.19985043,18.7210962,18.7210962
11238,BROOKLYN,1333,1339,1774,55102,58597,58597,100568,114427,114427,2419.14994,2285.09992,3027.458744,12.18802814,11.17305548,11.17305548
11239,BROOKLYN,137,359,493,12832,15917,15917,29571,33736,33736,1067.643392,2255.450148,3097.317334,31.29522966,29.54748247,29.54748247
11249,BROOKLYN,349,273,477,42421,42421,42421,105222,105222,105222,822.7057354,643.5491855,1124.443082,19.44216052,19.44216052,19.44216052
11354,QUEENS,664,617,644,52351,53375,53375,45838,52273,52273,1268.361636,1155.971897,1206.557377,19.85582898,18.67647059,18.67647059
11355,QUEENS,1317,1223,2043,81358,80918,80918,45527,46963,46963,1618.771356,1511.406609,2524.77817,23.91809162,21.55936612,21.55936612
11356,QUEENS,92,156,186,24178,27295,27295,64324,73318,73318,380.5112085,571.5332478,681.4434878,8.821127144,8.736426456,8.736426456
11357,QUEENS,58,57,61,40118,44030,44030,82858,88580,88580,144.5735082,129.4571883,138.5419032,7.903304011,8.876811594,8.876811594
11358,QUEENS,208,412,335,36665,38103,38103,70777,74854,74854,567.2985136,1081.279689,879.1958638,10.40780005,9.696739955,9.696739955
11360,QUEENS,16,24,60,18892,20076,20076,84356,92851,92851,84.69193309,119.5457262,298.8643156,6.620040998,7.28859669,7.28859669
11361,QUEENS,111,299,220,28531,30006,30006,86545,93734,93734,389.0505065,996.4673732,733.186696,8.321606154,7.913669065,7.913669065
11362,QUEENS,13,10,14,18694,19217,19217,92212,100528,100528,69.54102921,52.03725868,72.85216215,4.86509157,3.970325594,3.970325594
11363,QUEENS,27,47,59,6834,7424,7424,111094,98111,98111,395.0834065,633.0818966,794.7198276,9.355883411,8.837689133,8.837689133
11364,QUEENS,145,266,453,35866,39015,39015,87135,90970,90970,404.2826075,681.7890555,1161.091888,7.381477818,8.646807277,8.646807277
11365,QUEENS,110,142,348,43730,45439,45439,70102,73279,73279,251.5435628,312.5068774,765.8619248,11.7373583,11.38120863,11.38120863
11366,QUEENS,120,69,114,14109,13922,13922,91795,100781,100781,850.5209441,495.6184456,818.8478667,9.237926451,8.984628708,8.984628708
11367,QUEENS,222,402,737,40141,42362,42362,64332,71469,71469,553.050497,948.9636939,1739.766772,15.50610194,15.29379462,15.29379462
11368,QUEENS,964,1825,1571,108661,116469,116469,56904,62254,62254,887.1628275,1566.940559,1348.856777,17.6969783,16.92724196,16.92724196
11369,QUEENS,221,346,436,30693,31550,31550,61860,66132,66132,720.0338839,1096.671949,1381.933439,11.76040142,12.79447178,12.79447178
11370,QUEENS,89,97,131,29366,29780,29780,67582,67241,67241,303.0715794,325.721961,439.8925453,9.298013245,8.10430781,8.10430781
11372,QUEENS,861,1366,1576,63107,67252,67252,61239,62910,62910,1364.349438,2031.166359,2343.424731,12.96871068,13.05436338,13.05436338
11373,QUEENS,2316,1158,2091,96495,102104,102104,56835,62072,62072,2400.124359,1134.137742,2047.911933,13.01871701,10.91672498,10.91672498
11374,QUEENS,468,588,924,43173,47019,47019,75266,79221,79221,1084.01084,1250.558285,1965.163019,12.78617937,12.07242452,12.07242452
11375,QUEENS,871,1470,1471,72615,76091,76091,88117,96321,96321,1199.476692,1931.897333,1933.211549,8.957519456,7.102933623,7.102933623
11377,QUEENS,1288,1302,1471,82021,85255,85255,59910,66325,66325,1570.32955,1527.183156,1725.411999,9.942723332,9.620901323,9.620901323
11378,QUEENS,104,156,217,39033,39994,39994,82326,85464,85464,266.4412164,390.0585088,542.5813872,8.597811748,9.126891735,9.126891735
11379,QUEENS,68,174,375,37780,39805,39805,89700,88672,88672,179.9894124,437.1310137,942.0927019,7.396209719,7.827464535,7.827464535
11385,QUEENS,1664,1475,1438,105025,109111,109111,77044,77350,77350,1584.38467,1351.834371,1317.923949,10.7898508,11.42780027,11.42780027
11411,QUEENS,53,76,75,20473,21605,21605,104269,108131,108131,258.877546,351.7704235,347.1418653,6.016496846,7.159317868,7.159317868
11412,QUEENS,233,374,350,37987,41782,41782,85235,93429,93429,613.3677311,895.1223015,837.6812982,9.121591616,9.469565217,9.469565217
11413,QUEENS,184,239,297,41810,45661,45661,91836,104236,104236,440.0861038,523.4226145,650.4456757,6.491255711,6.169606408,6.169606408
11414,QUEENS,122,80,102,27672,30915,30915,75599,86113,86113,440.8788667,258.7740579,329.9369238,12.02749141,10.05557485,10.05557485
11415,QUEENS,363,327,498,18464,20351,20351,75476,80360,80360,1965.987868,1606.800649,2447.054199,10.17964072,9.758951556,9.758951556
11416,QUEENS,175,261,225,26087,27098,27098,73471,76477,76477,670.8322153,963.1707137,830.3195808,13.17316777,13.72761801,13.72761801
11417,QUEENS,217,172,255,31156,33236,33236,79210,78498,78498,696.4950571,517.5111325,767.2403418,13.06402611,13.48026105,13.48026105
11418,QUEENS,354,430,544,37666,38938,38938,73856,77708,77708,939.8396432,1104.319688,1397.092814,11.23555556,9.440950986,9.440950986
11419,QUEENS,373,562,568,47955,50107,50107,79589,84245,84245,777.8125326,1121.599776,1133.574151,11.33872129,9.318606098,9.318606098
11420,QUEENS,158,318,614,47266,51831,51831,85190,89027,89027,334.2783396,613.532442,1184.619243,10.60420181,9.435632608,9.435632608
11421,QUEENS,226,285,654,39654,42704,42704,77738,76721,76721,569.9298936,667.3847883,1531.472462,8.856512141,10.14045906,10.14045906
11422,QUEENS,136,179,272,32786,34063,34063,93397,95945,95945,414.8111999,525.4968734,798.5203887,6.732991659,8.164066333,8.164066333
11423,QUEENS,322,502,528,29532,30983,30983,70990,69386,69386,1090.342679,1620.243359,1704.160346,12.4618825,14.12011592,14.12011592
11426,QUEENS,12,36,49,20222,20959,20959,102770,102818,102818,59.34131144,171.76392,233.78978,7.157626849,5.866368286,5.866368286
11427,QUEENS,233,251,260,25096,25890,25890,81688,84000,84000,928.4348103,969.4862881,1004.248745,7.501613944,8.557089084,8.557089084
11428,QUEENS,74,94,131,19830,21184,21184,77466,83417,83417,373.1719617,443.7311178,618.3912387,9.606273485,8.732931089,8.732931089
11429,QUEENS,84,122,126,27808,28643,28643,82532,89318,89318,302.0713464,425.9330377,439.8980554,13.67724207,12.15199398,12.15199398
11432,QUEENS,1109,1325,1700,64282,64858,64858,66270,66246,66246,1725.21079,2042.924543,2621.110734,12.27780734,11.79800839,11.79800839
11433,QUEENS,239,456,507,36929,41396,41396,62453,68801,68801,647.1878469,1101.555706,1224.756015,14.77240732,15.73646276,15.73646276
11434,QUEENS,502,539,672,62590,66424,66424,65845,66546,66546,802.0450551,811.4536914,1011.682524,10.9623431,12.75152713,12.75152713
11435,QUEENS,473,671,892,59392,60842,60842,69873,71346,71346,796.403556,1102.856579,1466.092502,14.38632833,14.86238532,14.86238532
11436,QUEENS,121,158,173,18955,21248,21248,72962,78306,78306,638.3539963,743.5993976,814.1942771,9.133915575,10.44087491,10.44087491
11691,QUEENS,910,1159,1619,68454,70797,70797,52605,54877,54877,1329.359862,1637.075017,2286.820063,23.09691443,24.7728537,24.7728537
11692,QUEENS,287,319,470,22394,24639,24639,53077,53498,53498,1281.593284,1294.695402,1907.544949,18.38552916,18.40696951,18.40696951
11693,QUEENS,42,117,146,13029,14147,14147,52946,64688,64688,322.3578172,827.0304658,1032.020923,15.85412668,14.83735971,14.83735971
11694,QUEENS,257,403,445,21258,22432,22432,87755,88643,88643,1208.956628,1796.540656,1983.773181,9.716197794,12.63107722,12.63107722
